 Schema |                        Name                        | Type  |  Owner
--------+----------------------------------------------------+-------+----------
 public | accounts                                           | table | postgres
 public | advanced_settings                                  | table | postgres
 public | ar_internal_metadata                               | table | postgres
 public | asset_details                                      | table | postgres
 public | assigned_server_roles                              | table | postgres
 public | audit_events                                       | table | postgres
 public | authentication_configuration_script_bases          | table | postgres
 public | authentication_orchestration_stacks                | table | postgres
 public | authentications                                    | table | postgres
 public | automate_workspaces                                | table | postgres
 public | availability_zones                                 | table | postgres
 public | binary_blob_parts                                  | table | postgres
 public | binary_blobs                                       | table | postgres
 public | blacklisted_events                                 | table | postgres
 public | bottleneck_events                                  | table | postgres
 public | chargeable_fields                                  | table | postgres
 public | chargeback_rate_detail_currencies                  | table | postgres
 public | chargeback_rate_detail_measures                    | table | postgres
 public | chargeback_rate_details                            | table | postgres
 public | chargeback_rates                                   | table | postgres
 public | chargeback_tiers                                   | table | postgres
 public | classifications                                    | table | postgres
 public | cloud_database_flavors                             | table | postgres
 public | cloud_databases                                    | table | postgres
 public | cloud_networks                                     | table | postgres
 public | cloud_object_store_containers                      | table | postgres
 public | cloud_object_store_objects                         | table | postgres
 public | cloud_resource_quotas                              | table | postgres
 public | cloud_services                                     | table | postgres
 public | cloud_subnets                                      | table | postgres
 public | cloud_subnets_network_ports                        | table | postgres
 public | cloud_tenant_flavors                               | table | postgres
 public | cloud_tenants                                      | table | postgres
 public | cloud_tenants_vms                                  | table | postgres
 public | cloud_volume_backups                               | table | postgres
 public | cloud_volume_snapshots                             | table | postgres
 public | cloud_volumes                                      | table | postgres
 public | compliance_details                                 | table | postgres
 public | compliances                                        | table | postgres
 public | computer_systems                                   | table | postgres
 public | conditions                                         | table | postgres
 public | conditions_miq_policies                            | table | postgres
 public | configuration_locations                            | table | postgres
 public | configuration_locations_configuration_profiles     | table | postgres
 public | configuration_organizations                        | table | postgres
 public | configuration_organizations_configuration_profiles | table | postgres
 public | configuration_profiles                             | table | postgres
 public | configuration_profiles_configuration_tags          | table | postgres
 public | configuration_script_sources                       | table | postgres
 public | configuration_scripts                              | table | postgres
 public | configuration_tags                                 | table | postgres
 public | configuration_tags_configured_systems              | table | postgres
 public | configured_systems                                 | table | postgres
 public | container_build_pods                               | table | postgres
 public | container_builds                                   | table | postgres
 public | container_conditions                               | table | postgres
 public | container_deployment_nodes                         | table | postgres
 public | container_deployments                              | table | postgres
 public | container_env_vars                                 | table | postgres
 public | container_groups                                   | table | postgres
 public | container_groups_container_services                | table | postgres
 public | container_image_registries                         | table | postgres
 public | container_images                                   | table | postgres
 public | container_label_tag_mappings                       | table | postgres
 public | container_limit_items                              | table | postgres
 public | container_limits                                   | table | postgres
 public | container_nodes                                    | table | postgres
 public | container_port_configs                             | table | postgres
 public | container_projects                                 | table | postgres
 public | container_quota_items                              | table | postgres
 public | container_quota_scopes                             | table | postgres
 public | container_quotas                                   | table | postgres
 public | container_replicators                              | table | postgres
 public | container_routes                                   | table | postgres
 public | container_service_port_configs                     | table | postgres
 public | container_services                                 | table | postgres
 public | container_template_parameters                      | table | postgres
 public | container_templates                                | table | postgres
 public | container_volumes                                  | table | postgres
 public | containers                                         | table | postgres
 public | custom_attributes                                  | table | postgres
 public | custom_buttons                                     | table | postgres
 public | customization_scripts                              | table | postgres
 public | customization_scripts_operating_system_flavors     | table | postgres
